Date,P/E,P/B,Div Yield %,Close,Previous Returns,Returns
01-Jan-15,21.16,3.49,1.27,8284,0.42,0.02
02-Jan-15,21.45,3.54,1.26,8395.4,0.02,1.34
05-Jan-15,21.4,3.53,1.26,8378.4,1.34,-0.2
06-Jan-15,20.76,3.42,1.3,8127.3,-0.2,-3.04
07-Jan-15,20.7,3.41,1.3,8102.1,-3.04,-0.31
08-Jan-15,21.04,3.47,1.28,8234.6,-0.31,1.62
09-Jan-15,21.16,3.49,1.27,8284.5,1.62,0.6
12-Jan-15,21.27,3.51,1.27,8323,0.6,0.46
13-Jan-15,21.21,3.5,1.27,8299.4,0.46,-0.28
14-Jan-15,21.14,3.49,1.27,8277.5,-0.28,-0.26
15-Jan-15,21.7,3.58,1.24,8494.1,-0.26,2.58
16-Jan-15,21.75,3.59,1.24,8513.8,2.58,0.23
19-Jan-15,21.8,3.6,1.23,8550.7,0.23,0.43
20-Jan-15,22.16,3.67,1.21,8695.6,0.43,1.68
21-Jan-15,22.21,3.68,1.21,8729.5,1.68,0.39
22-Jan-15,22.25,3.69,1.2,8761.4,0.39,0.36
23-Jan-15,22.48,3.73,1.19,8835.6,0.36,0.84
27-Jan-15,22.67,3.76,1.18,8910.5,0.84,0.84
28-Jan-15,22.67,3.76,1.18,8914.3,0.84,0.04
29-Jan-15,22.84,3.77,1.18,8952.3,0.04,0.43
30-Jan-15,22.48,3.71,1.2,8808.9,0.43,-1.61
02-Feb-15,22.51,3.71,1.2,8797.4,-1.61,-0.13
03-Feb-15,22.42,3.69,1.21,8756.5,-0.13,-0.47
04-Feb-15,22.53,3.68,1.21,8723.7,-0.47,-0.38
05-Feb-15,22.57,3.67,1.21,8711.7,-0.38,-0.14
06-Feb-15,22.44,3.65,1.22,8661,-0.14,-0.58
09-Feb-15,22.59,3.59,1.24,8526.3,-0.58,-1.57
10-Feb-15,22.69,3.61,1.23,8565.5,-1.57,0.46
11-Feb-15,22.85,3.64,1.22,8627.4,0.46,0.72
12-Feb-15,23.07,3.67,1.21,8711.5,0.72,0.97
13-Feb-15,23.31,3.71,1.2,8805.5,0.97,1.07
16-Feb-15,23.22,3.74,1.25,8809.3,1.07,0.04
18-Feb-15,23.28,3.77,1.24,8869.1,0.04,0.68
19-Feb-15,23.76,3.78,1.24,8895.3,0.68,0.29
20-Feb-15,23.62,3.75,1.25,8833.6,0.29,-0.7
23-Feb-15,23.41,3.72,1.26,8754.9,-0.7,-0.89
24-Feb-15,23.43,3.72,1.26,8762.1,-0.89,0.08
25-Feb-15,23.44,3.72,1.26,8767.2,0.08,0.06
26-Feb-15,23.22,3.69,1.27,8683.8,0.06,-0.96
27-Feb-15,23.65,3.76,1.24,8844.6,-0.96,1.83
28-Feb-15,23.8,3.78,1.24,8901.8,1.83,0.64
02-Mar-15,23.95,3.8,1.23,8956.7,0.64,0.61
03-Mar-15,24.06,3.82,1.22,8996.2,0.61,0.44
04-Mar-15,23.86,3.79,1.23,8922.6,0.44,-0.82
05-Mar-15,23.9,3.8,1.23,8937.7,-0.82,0.17
09-Mar-15,23.48,3.73,1.25,8756.7,0.17,-2.05
10-Mar-15,23.36,3.71,1.26,8712,-2.05,-0.51
11-Mar-15,23.32,3.7,1.26,8699.9,-0.51,-0.14
12-Mar-15,23.53,3.74,1.25,8776,-0.14,0.87
13-Mar-15,23.18,3.68,1.27,8647.7,0.87,-1.47
16-Mar-15,23.14,3.68,1.27,8633.1,-1.47,-0.17
17-Mar-15,23.39,3.71,1.26,8723.3,-0.17,1.04
18-Mar-15,23.29,3.7,1.26,8685.9,1.04,-0.43
